Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-12 06:08:22.400,1241,0.862784,31.43,1557641302400
2019-05-12 06:08:52.400,1457,0.66368,31.49,1557641332400
2019-05-12 06:09:22.400,1260,0.8296,31.52,1557641362400
2019-05-12 06:09:52.400,1294,0.763232,31.49,1557641392400
2019-05-12 06:11:22.300,834,0.8296,31.71,1557641482300
2019-05-12 07:48:38.200,3471,0.779824,29.02,1557647318200
2019-05-12 07:54:09.100,1381,0.680272,31.38,1557647649100
2019-05-12 07:57:09.600,1671,0.481168,31.21,1557647829600
2019-05-12 08:06:41.200,199,0.779824,33.53,1557648401200
2019-05-12 08:11:42.000,205,0.779824,32.71,1557648702000
2019-05-12 08:13:12.400,257,0.730048,32.74,1557648792400
2019-05-12 08:14:42.500,235,0.033184,31.86,1557648882500
2019-05-12 08:15:13.300,246,0.713456,31.71,1557648913300
2019-05-12 08:15:43.300,275,0.779824,31.58,1557648943300
2019-05-12 08:16:12.700,263,0.696864,31.44,1557648972700
2019-05-12 08:16:43.300,262,0.630496,31.13,1557649003300
2019-05-12 08:17:15.200,234,0.530944,30.79,1557649035200
2019-05-12 08:17:55.300,230,0.564128,30.53,1557649075300
2019-05-12 08:18:13.300,446,0.58072,29.74,1557649093300
2019-05-12 08:19:21.100,336,1.144848,29.28,1557649161100
2019-05-12 08:19:43.900,362,0.796416,29.19,1557649183900
2019-05-12 08:20:43.900,326,0.298656,29.01,1557649243900
2019-05-12 08:24:14.100,295,0.514352,29.88,1557649454100
2019-05-12 08:25:14.200,281,0.547536,30.07,1557649514200
2019-05-12 08:25:44.300,278,0.597312,30.06,1557649544300
2019-05-12 08:26:44.400,268,1.045296,30.74,1557649604400
2019-05-12 08:31:15.200,274,0.713456,31.71,1557649875200
2019-05-12 08:36:16.000,206,0.74664,31.49,1557650176000
2019-05-12 08:38:46.400,405,0.547536,31.11,1557650326400
2019-05-12 08:41:46.900,1082,0.8296,31.04,1557650506900
2019-05-12 08:48:17.900,4145,0.74664,31.58,1557650897900
2019-05-12 08:56:19.300,4107,1.74216,31.88,1557651379300
2019-05-12 08:59:19.900,4902,0.862784,31.73,1557651559900
2019-05-12 09:04:20.500,3940,0.879376,32.1,1557651860500
2019-05-12 09:07:51.200,3586,0.763232,31.81,1557652071200
2019-05-12 09:14:22.200,4572,0.365024,31.92,1557652462200
2019-05-12 09:24:24.100,2210,0.8296,32.06,1557653064100
2019-05-12 09:26:54.200,2016,0.813008,32.23,1557653214200
2019-05-12 09:31:46.900,1574,0.33184,32.43,1557653506900
2019-05-12 09:34:55.600,1884,0.813008,32.19,1557653695600
2019-05-12 09:38:26.900,2077,0.779824,32.42,1557653906900
2019-05-12 09:38:56.400,2248,0.879376,32.5,1557653936400
2019-05-12 09:39:56.500,1363,0.779824,32.58,1557653996500
2019-05-12 09:40:56.900,1446,0.846192,32.56,1557654056900
2019-05-12 09:44:57.300,2346,0.796416,32.46,1557654297300
2019-05-12 09:49:28.200,5086,0.796416,32.32,1557654568200
2019-05-12 09:52:58.700,2849,1.260992,32.38,1557654778700
2019-05-12 09:54:28.800,2143,0.846192,32.45,1557654868800
2019-05-12 09:56:29.200,3876,0.763232,32.6,1557654989200
2019-05-12 10:07:30.900,2068,0.962336,31.84,1557655650900
2019-05-12 10:08:31.100,1991,0.613904,31.83,1557655711100
2019-05-12 10:13:01.900,1710,0.74664,31.44,1557655981900
2019-05-12 10:15:02.200,1515,0.647088,31.41,1557656102200
2019-05-12 10:17:32.500,3486,0.74664,31.0,1557656252500
2019-05-12 10:29:34.500,1876,0.447984,30.44,1557656974500
2019-05-12 10:31:04.800,1364,1.178032,30.26,1557657064800
2019-05-12 10:32:35.000,2761,0.879376,30.2,1557657155000
2019-05-12 10:43:38.000,299,1.061888,27.15,1557657818000
2019-05-12 10:44:07.900,291,0.265472,27.15,1557657847900
2019-05-12 10:45:08.500,304,0.4148,27.04,1557657908500
2019-05-12 10:45:37.900,2349,0.597312,26.84,1557657937900
2019-05-12 10:46:07.900,1113,0.315248,26.49,1557657967900
2019-05-12 10:46:38.500,677,0.530944,26.21,1557657998500
2019-05-12 10:47:07.900,667,0.796416,26.25,1557658027900
2019-05-12 10:48:08.000,552,0.8296,26.15,1557658088000
2019-05-12 10:48:46.300,382,0.680272,26.09,1557658126300
2019-05-12 10:49:15.100,344,0.447984,26.09,1557658155100
2019-05-12 10:49:39.700,468,0.58072,26.09,1557658179700
2019-05-12 10:50:16.400,387,0.099552,26.0,1557658216400
2019-05-12 10:50:42.800,241,0.730048,26.04,1557658242800
2019-05-12 10:54:38.600,130,0.08296,24.66,1557658478600
2019-05-12 10:58:19.300,113,0.647088,24.36,1557658699300
2019-05-12 10:58:40.300,127,0.8296,24.62,1557658720300
2019-05-12 10:59:11.000,125,0.66368,24.98,1557658751000
2019-05-12 10:59:41.500,325,0.8296,24.09,1557658781500
2019-05-12 11:00:10.300,202,0.680272,24.12,1557658810300
2019-05-12 11:00:40.300,168,0.597312,24.25,1557658840300
2019-05-12 11:01:10.400,151,0.049776,24.09,1557658870400
2019-05-12 11:22:13.300,417,0.613904,26.82,1557660133300
